entry_id,smiles,cation_family,anion_family,value
ABjlz,CCCC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.0508
ADkQO,Cn1cc[n+](C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.3273
AGazE,CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])C1CCCN1,ammonium,carboxylates,0.9816
AGxcw,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.437
AHFxw,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.2363
AHRGa,CCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],imidazolium,inorganics,1.127
AJxaI,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,triazolium,sulfonates,1.37159
AKUUz,CCCC[n+]1ccn(C)c1C.NCC(=O)[O-],imidazolium,carboxylates,1.1254000000000002
ALVzl,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,imidazolium,carboxylates,1.149
AMByY,CCCCCOC[N+](C)(C)CCOC(C)=O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.342
ANHMt,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.3657
ANMhI,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.499
AOTWl,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,pyrrolidinium,phosphates,1.631
AOfRR,CCCC[P+](CCCC)(CCCC)CCCC.NC(CS)C(=O)[O-],phosphonium,carboxylates,1.0337
AOqHd,CC1(C)OCC(C[N+]2(C)CCCC2)O1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.425
